"Site.Name","Escape.ID","Operator.at.Time.of.Escape","Escape.Water.Type","Escape.Start.Date","Escape.Start.Time","Escaped.Species","Stage","Age","Average.Weight","Initial.Escape.Reason","Final.Number.Escaped","Final.Number.Recovered","Marine.Scotland.Site.ID","Date.Registered","Local.Authority","Producing.in.Last.3.Years","Site.Post.Code","Health.Surveillance","MS.Management.Area","Species","Total.number.escaped","year","month","c2","c3","c4","c5","c6","c7"
"ardmaddy",2000198,"lighthouse caledonia ltd","s",2008-07-11,NA,"atlantic salmon","grower fish (salmon only)",30,4500,"hole in net - hol",5500,0,"fs0464",1985-09-01,"argyll and bute","no",NA,"medium","16d - seil sound to loch craignish","lumpsucker, atlantic salmon, wrasse",5500,2008,7,1.465,0.271,1.290665,0.01707203,0.085683604,0.150537004
"ardmaddy",2000198,"lighthouse caledonia ltd","s",2008-07-11,NA,"atlantic salmon","grower fish (salmon only)",30,4500,"hole in net - hol",5500,0,"fs0464",1985-09-01,"argyll and bute","no",NA,"medium","16d - seil sound to loch craignish","lumpsucker, atlantic salmon, wrasse",5500,2006,4,2.038,0.492,1.683388,0.01750451,0.085189357,0.209290102
"ardmair",2000125,"wester ross fisheries ltd","s",2006-10-27,"10:00","atlantic salmon","grower fish (salmon only)",9,100,"human error - hum",10,0,"fs0056",1979-04-20,"highland","yes","iv26 2tn","low","10b - loch broom","lumpsucker, wrasse, atlantic salmon",10,2006,10,2.484,0.53,1.500336,0.017615951,0.104410759,0.303114348
"ardnish",2000253,"marine harvest (scotland) ltd","s",2009-10-12,NA,"atlantic salmon","grower fish (salmon only)",20,1000,"human error - hum",7,0,"fs0249",1979-09-12,"highland","yes","ph38 4lz","low","15c - ailort","wrasse, lumpsucker, atlantic salmon",7,2009,10,1.596,0.362,1.225728,0.018212521,0.084520955,0.163962628
"ardyne",2000376,"murray seafood ltd.","s",1998-09-08,NA,"atlantic salmon","grower fish (salmon only)",15,3100,"human error - hum",10000,0,"fs0559",1985-10-16,"argyll and bute","yes","pa23 7uj","medium","19b - kyles of bute","lumpsucker, wrasse, atlantic salmon",10000,2006,7,1.278,0.08,0.77958,0.01785064,0.116808745,0.172094694
"ardyne",2000376,"murray seafood ltd.","s",1998-09-08,NA,"atlantic salmon","grower fish (salmon only)",15,3100,"human error - hum",10000,0,"fs0559",1985-10-16,"argyll and bute","yes","pa23 7uj","medium","19b - kyles of bute","lumpsucker, wrasse, atlantic salmon",10000,1998,9,0.977,0.165,0.599878,0.019268953,0.098810303,0.115363434
"ardyne",2000376,"murray seafood ltd.","s",1998-09-08,NA,"atlantic salmon","grower fish (salmon only)",15,3100,"human error - hum",10000,0,"fs0559",1985-10-16,"argyll and bute","yes","pa23 7uj","medium","19b - kyles of bute","lumpsucker, wrasse, atlantic salmon",10000,1999,9,1.455,0.209,1.273125,0.017812369,0.149243441,0.243066203
"ardyne",2000376,"murray seafood ltd.","s",1998-09-08,NA,"atlantic salmon","grower fish (salmon only)",15,3100,"human error - hum",10000,0,"fs0559",1985-10-16,"argyll and bute","yes","pa23 7uj","medium","19b - kyles of bute","lumpsucker, wrasse, atlantic salmon",10000,1998,7,1.838,0.369,1.251678,0.017434809,0.104375452,0.22388726
"ardyne",2000376,"murray seafood ltd.","s",1998-09-08,NA,"atlantic salmon","grower fish (salmon only)",15,3100,"human error - hum",10000,0,"fs0559",1985-10-16,"argyll and bute","yes","pa23 7uj","medium","19b - kyles of bute","lumpsucker, wrasse, atlantic salmon",10000,2005,1,1.371,0.276,1.030992,0.018463895,0.0878563,0.145764987
"ardyne",2000375,"murray seafoods ltd.","s",1998-07-01,NA,"atlantic salmon","grower fish (salmon only)",15,3172,"hole in net - hol",30000,0,"fs0559",1985-10-16,"argyll and bute","yes","pa23 7uj","medium","19b - kyles of bute","lumpsucker, atlantic salmon, wrasse",30000,2006,7,1.278,0.08,0.77958,0.01785064,0.116808745,0.172094694
